Date,Open,High,Low,Close,Volume,Change
2023-05-25,25,26,26,25,0,-8
2023-05-24,27,28,28,28,0,-4
2023-05-23,29,29,29,29,0,-1
2023-05-22,29,30,30,30,0,-1
2023-05-19,30,30,30,30,0,1
2023-05-19,30,30,30,30,0,1
2023-05-19,30,30,30,30,0,1
2023-05-18,29,29,29,29,0,-6
2023-05-17,31,32,32,32,0,0
2023-05-16,31,32,32,31,0,-1
2023-05-15,32,32,33,32,0,-1
2023-05-12,32,33,33,32,0,-6
2023-05-12,32,33,33,32,0,-6
2023-05-12,32,33,33,32,0,-6
2023-05-11,34,34,35,34,0,0
2023-05-10,34,35,36,34,0,-2
2023-05-09,35,36,36,35,0,-2
2023-05-08,36,36,37,36,0,0
2023-05-05,36,35,36,35,0,2
2023-05-05,36,35,36,35,0,2
2023-05-05,36,35,36,35,0,2
2023-05-04,35,36,36,35,0,-3
2023-05-03,36,37,37,36,0,-2
2023-05-02,37,37,38,37,0,-3
2023-05-01,38,38,38,38,0,0
2023-04-28,38,39,39,38,0,-1
2023-04-28,38,39,39,38,0,-1
2023-04-28,38,39,39,38,0,-1
2023-04-27,39,39,39,39,0,1
2023-04-26,38,38,38,38,0,-3
2023-04-25,39,39,39,39,0,0
2023-04-24,39,39,39,39,0,0
2023-04-21,40,40,41,39,0,0
2023-04-21,40,40,41,39,0,0
2023-04-21,40,40,41,39,0,0
2023-04-20,40,40,41,40,0,0
2023-04-19,40,42,42,39,0,-5
2023-04-18,42,41,42,41,0,3
2023-04-17,41,42,42,41,0,0
2023-04-14,41,41,41,41,0,-2
2023-04-14,41,41,41,41,0,-2
2023-04-14,41,41,41,41,0,-2
2023-04-13,42,42,42,41,0,-1
2023-04-12,42,43,43,42,0,-1
2023-04-11,43,43,44,42,0,1
2023-04-10,43,43,43,43,0,0
2023-04-06,43,43,44,42,0,-3
2023-04-06,43,43,44,42,0,-3
2023-04-06,43,43,44,42,0,-3
2023-04-06,43,43,44,42,0,-3
2023-04-05,44,46,47,44,0,-4
2023-04-04,46,48,48,45,0,-9
2023-04-03,51,49,51,49,0,7
2023-03-31,47,44,44,44,0,9
2023-03-31,47,44,44,44,0,9
2023-03-31,47,44,44,44,0,9
2023-03-30,43,43,43,43,0,1
2023-03-29,42,42,42,42,0,0
2023-03-28,42,42,42,42,0,0
2023-03-27,42,42,42,42,0,3
2023-03-24,41,41,41,41,0,-4
2023-03-24,41,41,41,41,0,-4
2023-03-24,41,41,41,41,0,-4
2023-03-23,43,42,43,42,0,8
2023-03-22,39,41,41,39,0,-5
2023-03-21,42,38,41,38,0,7
2023-03-20,39,40,40,38,0,-8
2023-03-17,42,43,44,42,0,-3
2023-03-17,42,43,44,42,0,-3
2023-03-17,42,43,44,42,0,-3
2023-03-16,44,42,44,42,0,3
2023-03-15,42,43,43,42,0,-2
